external_gene_name	Y	A	CtrlUn	KUnInj	CtrlInj	KInj	N	KN
B3gnt7	356.577	93.8364	80.2717	76.6558	73.5481	126.97	40.5917	63.4913
B3gnt8	300.367	100.445	230.757	120.445	137.524	210.678	184.918	195.827
B3gnt9	1366.7	1270.1	790.05	809.668	663.653	355.658	541.222	1065.34
B3gntl1	158.975	113.661	114.625	96.5644	146.639	237.195	243.55	148.579
B4galnt1	1210.16	565.662	612.568	793.846	464.092	315.63	360.815	1058.65
B4galnt2	51.727	15.8597	21.4353	20.7118	22.1101	75.6474	72.163	21.0645
B4galnt3	114.995	31.7194	52.9672	57.1778	43.8882	148.915	49.6121	59.178
B4galnt4	2971.19	839.241	715.945	848.817	772.721	696.1	933.609	1514.45
B4galt1	72.4666	37.0059	60.4637	59.034	45.8689	140.982	121.775	73.5183
B4galt2	252.515	103.088	60.4493	30.083	31.1843	133.429	171.387	67.1427
B4galt3	614.841	479.755	557.64	736.714	466.156	247.885	257.081	898.488
B4galt4	489.49	372.702	336.071	335.326	358.542	308.821	288.652	207.44
B4galt5	343.854	253.755	184.27	198.504	148.62	202.891	171.387	379.024
B4galt6	110.048	85.9066	85.462	81.1262	96.726	93.8275	85.6935	53.2834
B4galt7	230.262	109.696	88.6976	61.5239	67.647	123.559	148.836	141.025
B4gat1	81.0327	17.1813	24.7046	4.39134	14.6017	70.3469	90.2037	15.4873
B9d1	918.505	370.059	181.988	206.642	222.251	204.309	99.2241	471.522
B9d2	1471.78	798.27	511.78	270.655	165.369	228.659	311.203	425.799
Baalc	99.5137	305.299	217.093	210.377	166.727	146.017	153.346	279.601
Baat	70.1191	48.9007	82.862	54.6313	84.7279	115.272	81.1834	59.5734
Babam1	1355.11	878.89	519.465	612.432	405.769	258.526	202.958	746.96
Babam2	978.037	532.621	315.617	278.623	229.428	284.02	184.918	513.231
Bace1	620.148	255.076	241.113	296.302	197.953	291.721	446.508	486.241
Bace2	155.637	116.304	128.631	114.254	87.8591	122.68	139.816	150.939
Bach1	1479.95	1219.87	1081.06	1272.09	1550.13	539.17	545.733	690.209
Bach2	1611.6	1383.76	1359.39	1862.42	1289.12	610.257	622.406	1473.24
Bach2os	534.902	898.715	573.274	644.099	518.424	301.863	451.019	665.427
Bad	1332.32	399.135	479.386	552.04	473.873	232.77	320.223	707.978
Bag1	412.691	722.937	98.3801	58.9323	82.5392	156.022	130.795	72.7394
Bag2	175.887	247.147	168.661	175.925	163.139	212.161	216.489	127.558
Bag3	151.55	151.989	69.5348	26.4158	35.063	104.339	76.6732	64.7552
Bag4	87.9404	200.889	386.866	436.96	266.389	133.737	243.55	409.952
Bag5	25.5278	6.6082	9.1047	6.28141	11.055	16.5554	27.0611	9.92954
Bag6	2981.32	413.673	292.174	333.413	172.919	370.027	536.712	591.138
Bahcc1	3585.21	757.3	392.158	419.145	332.346	451.692	202.958	982.734
