external_gene_name	E11mean	E12mean	E13mean	E14mean	E15mean	E16mean	E18mean	P0mean	CtrlUnInjmean	YoungFC	AdultFC	UnInjCST_FC	InjCST_FC
Ppm1k	1.8450000000000002	4.385	4.79	4.815	4.08	5.57	5.725	3.795	23.634999999999998	75.5889			90.6716
Ppm1l	5.1850000000000005	13.385	19.619999999999997	17.54	15.655000000000001	22.165	20.515	13.42	27.585	2652.41			1750.18
Ppm1m	24.35	30.86	23.625	15.715	8.025	13.129999999999999	9.91	12.695	11.254999999999999	230.558			77.0266
Ppm1n	0.125	0.11	0.08	0.275	0.3	0.155	0.27	0.5700000000000001	0.0	228.78799999999998			35.764
Ppme1	49.269999999999996	89.45	92.545	101.755	116.975	132.73000000000002	132.3	135.865	96.575	139.477			86.762
Ppox	29.744999999999997	51.66	51.225	40.945	35.815	40.13	38.795	18.565	14.2	279.252			94.4899
Ppp1ca	526.825	671.495	569.645	554.51	541.605	457.28999999999996	494.54999999999995	474.855	176.07500000000002	861.752			192.051
Ppp1cb	50.015	65.515	78.315	75.1	86.36	75.015	85.4	62.215	210.96	1692.45			501.38
Ppp1cc	187.945	301.125	284.37	247.89	240.99	236.26999999999998	234.82999999999998	174.92000000000002	164.255	428.94			112.791
Ppp1r10	33.115	44.31	55.725	42.81	33.2	43.41	40.195	23.259999999999998	13.87	4700.95			1128.2
Ppp1r11	84.925	114.535	115.69	133.2	173.235	131.415	139.475	142.945	71.13	359.405			260.86400000000003
Ppp1r12a	18.325	30.75	34.995000000000005	33.805	30.564999999999998	36.61	35.675	20.5	23.835	3250.95			874.544
Ppp1r12b	3.32	10.34	10.594999999999999	9.52	9.835	13.44	12.45	8.55	15.085	288.715			237.08900000000003
Ppp1r12c	20.71	39.89	48.379999999999995	31.845	29.119999999999997	44.525000000000006	33.28	28.625	51.245	424.545			186.87
Ppp1r13b	1.665	5.605	7.824999999999999	7.805	13.75	18.380000000000003	17.805	29.185	15.215	198.89700000000002			204.7
