external_gene_name	E11	E12	E13	E14	E16	E18	P0	Adult
Crygf	65	23	26	32	35	22	8	3
Map2	300	49	141	126	226	139	57	44
Map2	140	118	289	360	610	501	193	76
Unc80	48	20	31	27	51	36	21	72
Rpe	148	21	51	39	69	50	17	43
Kansl1l	359	37	120	82	160	116	49	33
Acadl	179	20	46	22	52	22	13	20
Myl1	47	11	18	18	24	20	15	8
Myl1	32	14	10	20	18	13	8	3
Lancl1	21	0	4	3	8	6	0	8
Lancl1	0	1	1	0	0	0	0	0
Cps1	25	10	14	16	27	11	9	2
Erbb4	144	33	53	49	123	71	23	15
Ikzf2	217	23	63	45	85	68	35	19
Spag16	112	17	42	15	28	22	11	3
Spag16	44	8	20	14	18	12	6	4
Vwc2l	23	17	28	28	55	23	13	13
Bard1	297	53	51	53	63	46	16	19
Abca12	37	20	28	20	26	17	9	1
Atic	267	22	34	53	73	56	42	42
Fn1	1036	100	151	81	87	46	21	28
Mreg	99	26	47	31	52	29	15	9
Tmem169	247	12	42	27	44	35	16	28
Pecr	78	30	88	116	215	146	81	46
Xrcc5	490	99	191	154	459	314	143	33
March4	31	16	44	44	129	103	48	53
Smarcal1	226	27	90	66	158	123	44	68
Ankar	0	0	0	0	0	0	0	0
Ankar	0	0	0	0	0	0	0	0
Rpl37a	228	37	101	81	185	84	40	29
Igfbp2	774	127	182	87	102	72	13	10
Igfbp2	1390	179	284	165	193	130	52	23
Igfbp5	408	63	158	76	67	51	22	32
Tnp1	43	16	31	19	41	26	4	5
Tns1	30	0	2	0	2	0	0	0
Rufy4	7	1	5	4	4	2	1	1
Cxcr2	63	17	29	20	21	23	4	4
Cxcr1	42	18	29	29	20	17	7	5
Arpc2	280	37	98	83	176	107	48	91
Gpbar1	73	20	46	30	40	32	11	18
Pnkd	232	20	52	33	89	58	31	28
Aamp	147	16	29	31	45	39	16	36
Tmbim1	75	21	50	29	41	32	15	81
Pnkd	240	52	129	91	183	114	48	79
Catip	47	22	31	26	45	23	10	16
Slc11a1	61	14	47	20	28	23	6	17
Ctdsp1	334	51	96	71	120	56	11	52
Vil1	115	21	31	20	22	17	6	9
Cnot9	301	24	68	42	85	44	9	17
Usp37	1016	172	312	167	237	157	79	73
Plcd4	96	37	62	56	115	90	29	57
Plcd4	62	25	47	28	42	47	18	21
Bcs1l	414	40	117	107	241	147	68	81
Zfp142	119	17	37	43	78	60	33	56
Stk36	261	27	67	38	86	55	39	47
